LABEL,CONNECTIONS,TYPE,HEMI,CLASSIFICATION_NAME,PAIR,SIZE
226,"R_Frontal - R_Cerebellum
R_Frontal - Brainstem
R_Parietal - Brainstem",P-P,R,P-P-FrontalCerebellum-FrontalBrainstem-ParietalBrainstem-R,0,4
227,"R_Frontal - R_Cerebellum
R_Frontal - Brainstem
R_Subcortical - Brainstem",P-P,R,P-P-FrontalCerebellum-FrontalBrainstem-SubcorticalBrainstem-R,244,1
228,"L_Occipital - L_Temporal
L_Occipital - Brainstem",A-P,L,A-P-OccipitalTemporal-OccipitalBrainstem-L,0,20
229,"R_Frontal - R_Temporal
R_Parietal - R_Temporal
R_Occipital - R_Temporal
R_Temporal - R_Subcortical",A-A-A-P,R,A-A-A-P-FrontalTemporal-ParietalTemporal-OccipitalTemporal-TemporalSubcortical-R,238,8
230,"R_Frontal - R_Parietal
L_Parietal - R_Temporal
R_Parietal - R_Temporal",A-C-A,RC,A-C-A-FrontalParietal-ParietalTemporal-ParietalTemporal-RC,0,310
231,"L_Parietal - L_Temporal
L_Occipital - L_Temporal
L_Temporal - L_Cingulate",A-A-A,L,A-A-A-ParietalTemporal-OccipitalTemporal-TemporalCingulate-L,194,79
232,"L_Occipital - R_Occipital
L_Occipital - R_Temporal",C-C,C,C-C-OccipitalOccipital-OccipitalTemporal-C,0,86
233,"R_Parietal - Brainstem
R_Occipital - Brainstem
R_Temporal - Brainstem",P-P-P,R,P-P-P-ParietalBrainstem-OccipitalBrainstem-TemporalBrainstem-R,197,312
234,"R_Frontal - R_Temporal
R_Parietal - Brainstem",A-P,R,A-P-FrontalTemporal-ParietalBrainstem-R,239,9
235,"L_Frontal - L_Cingulate
L_Temporal - L_Cingulate",A-A,L,A-A-FrontalCingulate-TemporalCingulate-L,241,65
236,"R_Frontal - R_Parietal
R_Parietal - R_Subcortical
R_Parietal - Brainstem",A-P-P,R,A-P-P-FrontalParietal-ParietalSubcortical-ParietalBrainstem-R,251,27
237,"L_Cingulate - R_Frontal",C,C,C-CingulateFrontal-C,0,7
238,"L_Frontal - L_Temporal
L_Parietal - L_Temporal
L_Occipital - L_Temporal
L_Temporal - L_Subcortical",A-A-A-P,L,A-A-A-P-FrontalTemporal-ParietalTemporal-OccipitalTemporal-TemporalSubcortical-L,229,74
